Model,Chunk Size,K,Mode,Text MRR,Text Recall,Text Precision,Text F1,Page MRR,Page Recall,Page Precision,Page F1
voyage/voyage-3-large,2048,20,singledoc,0.4753,0.7078,0.0701,0.1233,0.665,0.9744,0.1117,0.1925
voyage/voyage-3-large,1024,20,singledoc,0.459,0.7044,0.0695,0.1228,0.6382,0.9622,0.1024,0.177
voyage/voyage-3-large,2048,20,global,0.435,0.6578,0.056,0.1005,0.5831,0.9244,0.077,0.1403
voyage/voyage-3-large,512,20,singledoc,0.4347,0.7044,0.0737,0.1286,0.5933,0.9267,0.1011,0.1728
openai/text-embedding-3-large,2048,20,singledoc,0.4185,0.6811,0.0877,0.1448,0.5442,0.9578,0.1333,0.2182
voyage/voyage-3-large,1024,20,global,0.4171,0.6511,0.056,0.1005,0.554,0.8989,0.0693,0.1271
openai/text-embedding-3-large,1024,20,singledoc,0.4116,0.6778,0.0842,0.14,0.529,0.9489,0.1081,0.1839
openai/text-embedding-3-large,256,20,singledoc,0.3994,0.6956,0.0882,0.1462,0.5422,0.8678,0.1199,0.1961
openai/text-embedding-3-large,512,20,singledoc,0.3874,0.6678,0.0781,0.1338,0.5366,0.9156,0.1033,0.1735
voyage/voyage-3-large,512,20,global,0.3774,0.6322,0.0533,0.0958,0.5177,0.8267,0.064,0.1173
ollama/nomic-embed-text,512,20,singledoc,0.3518,0.6056,0.0946,0.1473,0.4396,0.8,0.1019,0.1591
ollama/nomic-embed-text,256,20,singledoc,0.3383,0.5922,0.0889,0.1446,0.4139,0.7278,0.1014,0.1617
ollama/bge-m3,512,20,singledoc,0.3315,0.58,0.0761,0.1274,0.387,0.7756,0.0832,0.1399
voyage/voyage-finance-2,512,20,singledoc,0.3192,0.6233,0.0694,0.12,0.469,0.8156,0.0847,0.1452
openai/text-embedding-3-small,2048,20,singledoc,0.3118,0.63,0.0709,0.122,0.4751,0.92,0.1193,0.197
voyage/voyage-finance-2,2048,20,singledoc,0.3091,0.6122,0.0652,0.1137,0.4969,0.89,0.1048,0.1798
voyage/voyage-finance-2,1024,20,singledoc,0.3017,0.6122,0.0665,0.1154,0.4965,0.8744,0.097,0.1641
openai/text-embedding-3-small,256,20,singledoc,0.2981,0.5844,0.0676,0.1149,0.4052,0.7589,0.0927,0.1556
openai/text-embedding-3-small,1024,20,singledoc,0.2913,0.6067,0.0653,0.1136,0.4445,0.8844,0.1035,0.1731
voyage/voyage-finance-2,512,20,global,0.2858,0.5533,0.053,0.0936,0.4016,0.7389,0.0577,0.1058
openai/text-embedding-3-large,2048,20,global,0.2794,0.5478,0.0563,0.0988,0.3819,0.7867,0.0657,0.1194
ollama/bge-m3,256,20,singledoc,0.2746,0.5589,0.0755,0.1258,0.3496,0.7189,0.0946,0.1537
openai/text-embedding-3-large,1024,20,global,0.274,0.5278,0.055,0.0963,0.3611,0.7578,0.0597,0.1092
ollama/nomic-embed-text,2048,20,singledoc,0.2733,0.4222,0.0741,0.1115,0.4118,0.7044,0.1231,0.1847
voyage/voyage-finance-2,2048,20,global,0.2704,0.5422,0.0517,0.0915,0.4244,0.8233,0.0697,0.1261
openai/text-embedding-3-small,512,20,singledoc,0.2703,0.5433,0.0643,0.1087,0.384,0.7522,0.0839,0.1395
ollama/bge-m3,2048,20,singledoc,0.2664,0.3956,0.0592,0.0977,0.3726,0.5711,0.0847,0.1411
ollama/bge-m3,1024,20,singledoc,0.2663,0.4122,0.0515,0.088,0.3539,0.5856,0.0726,0.1203
ollama/nomic-embed-text,1024,20,singledoc,0.2626,0.3956,0.0657,0.1013,0.3743,0.6444,0.0961,0.1524
openai/text-embedding-3-large,256,20,global,0.2622,0.54,0.0503,0.0897,0.3545,0.7,0.0657,0.1171
voyage/voyage-finance-2,1024,20,global,0.26,0.5322,0.052,0.0918,0.4158,0.7656,0.0617,0.1124
openai/text-embedding-3-large,512,20,global,0.2458,0.53,0.0503,0.0893,0.3478,0.7044,0.056,0.1025
ollama/bge-m3,512,20,global,0.2337,0.47,0.0473,0.083,0.2538,0.5967,0.043,0.0794
ollama/bge-m3,256,20,global,0.1991,0.4156,0.043,0.0753,0.2422,0.5156,0.043,0.0774
ollama/nomic-embed-text,512,20,global,0.1921,0.4533,0.0427,0.0748,0.2456,0.5156,0.0373,0.0687
ollama/bge-m3,1024,20,global,0.1876,0.3522,0.0333,0.0587,0.2467,0.4522,0.0343,0.063
ollama/bge-m3,2048,20,global,0.1818,0.3689,0.0343,0.0607,0.2537,0.5044,0.0433,0.0784
openai/text-embedding-3-small,256,20,global,0.1789,0.3922,0.035,0.0621,0.2478,0.5311,0.0453,0.0816
openai/text-embedding-3-small,2048,20,global,0.1788,0.4533,0.0377,0.0677,0.2975,0.72,0.055,0.1006
ollama/nomic-embed-text,256,20,global,0.1761,0.3722,0.0403,0.0701,0.214,0.5033,0.042,0.0754
openai/text-embedding-3-small,1024,20,global,0.1717,0.45,0.0387,0.0693,0.274,0.6467,0.0477,0.0878
openai/text-embedding-3-small,512,20,global,0.1558,0.4167,0.036,0.0644,0.2346,0.5778,0.0413,0.0762
ollama/nomic-embed-text,1024,20,global,0.1299,0.2933,0.0293,0.0506,0.1879,0.4244,0.031,0.0571
ollama/nomic-embed-text,2048,20,global,0.1238,0.3289,0.031,0.0538,0.1966,0.5011,0.0397,0.0724
