financebench_id,mode,question_type,provider,model,temperature,template_alias,question,gold_answer,generated_answer,refusal_detected,refusal_confidence,llm_graded_score,llm_graded_facts_present,llm_graded_facts_missing,nem_match,nem_gold_num,nem_gen_num,nem_relative_error,nem_error_category,llm_binary_match,llm_binary_gold_num,llm_binary_gen_num,llm_binary_relative_error,llm_binary_error_category,token_f1,token_precision,token_recall,token_gold_count,token_gen_count,token_common_count
financebench_id_00499,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Is 3M a capital-intensive business based on FY2022 data?,"No, the company is managing its CAPEX and Fixed As...","No, 3M is not a capital-intensive business based o...",False,1.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,
financebench_id_01226,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,What drove operating margin change as of FY2022 for 3M? If operating margin is not a useful metric f...,Operating Margin for 3M in FY2022 has decreased by...,Operating margin change for 3M in FY2022 was influ...,False,1.0,1.0,2.0,6.0,,,,,,,,,,,,,,,,
financebench_id_00807,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If th...,No. The quick ratio for 3M was 0.96 by Jun'23 clos...,The quick ratio is relevant for assessing 3M's liq...,False,1.0,0.0,2.0,4.0,,,,,,,,,,,,,,,,
financebench_id_00941,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Which debt securities are registered to trade on a national securities exchange under 3M's name as o...,Following debt securities registered under 3M's na...,3M has several series of corporate bonds registere...,False,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00438,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Does Adobe have an improving operating margin profile as of FY2022? If operating margin is not a use...,No the operating margins of Adobe have recently de...,"Yes, Adobe has an improving operating margin profi...",False,1.0,0.0,1.0,4.0,,,,,,,,,,,,,,,,
financebench_id_01319,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,What is the quantity of restructuring costs directly outlined in AES Corporation's income statements...,0,0,False,1.0,4.0,2.0,0.0,,,,,,,,,,,,,,,,
financebench_id_00540,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Roughly how many times has AES Corporation sold its inventory in FY2022? Calculate inventory turnove...,AES has converted inventory 9.5 times in FY 2022.,The inventory turnover ratio for AES Corporation i...,True,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,
financebench_id_00799,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Has AMCOR's quick ratio improved or declined between FY2023 and FY2022? If the quick ratio is not so...,The quick ratio has slightly improved from 0.67 ti...,The quick ratio's improvement or decline cannot be...,True,1.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,
financebench_id_01079,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,"What are major acquisitions that AMCOR has done in FY2023, FY2022 and FY2021?","Amcor completed these acquisitions during FY2023:
...","In FY2023, Amcor acquired a flexible packaging bus...",False,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,
financebench_id_01148,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,What industry does AMCOR primarily operate in?,Amcor is a global leader in packaging production f...,AMCOR primarily operates in the packaging industry...,False,1.0,4.0,2.0,0.0,,,,,,,,,,,,,,,,
financebench_id_00684,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Does AMCOR have an improving gross margin profile as of FY2023? If gross margin is not a useful metr...,No. For AMCOR there has been a slight decline in g...,Gross margin may not be a useful metric for AMCOR;...,False,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,
financebench_id_00222,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,Does AMD have a reasonably healthy liquidity profile based on its quick ratio for FY22? If the quick...,"Yes. The quick ratio is 1.57, calculated as (cash ...","Yes, AMD has a reasonably healthy liquidity profil...",False,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,
financebench_id_00995,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,What are the major products and services that AMD sells as of FY22?,AMD sells server microprocessors (CPUs) and graphi...,AMD's major products and services as of FY22 inclu...,False,1.0,2.0,6.0,13.0,,,,,,,,,,,,,,,,
financebench_id_01198,closed_book,domain-relevant,openai,gpt-4o-mini,0.0,domain_closed_basic,What drove revenue change as of the FY22 for AMD?,"In 2022, AMD reported Higher sales of their EPYC s...",AMD's revenue change in FY22 was driven by increas...,False,1.0,2.0,7.0,3.0,,,,,,,,,,,,,,,,
