financebench_id,mode,question_type,provider,model,temperature,template_alias,question,gold_answer,generated_answer,refusal_detected,refusal_confidence,llm_graded_score,llm_graded_facts_present,llm_graded_facts_missing,nem_match,nem_gold_num,nem_gen_num,nem_relative_error,nem_error_category,llm_binary_match,llm_binary_gold_num,llm_binary_gen_num,llm_binary_relative_error,llm_binary_error_category,token_f1,token_precision,token_recall,token_gold_count,token_gen_count,token_common_count
financebench_id_03029,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is the FY2018 capital expenditure amount (in USD millions) for 3M? Give a response to the quest...,$1577.00,"$1,700 million",False,1.0,,,,False,1577.0,1700.0,7.7996195307545975,out_of_tolerance,False,1577.0,1700.0,7.7996195307545975,out_of_tolerance,,,,,,
financebench_id_04672,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,Assume that you are a public equities analyst. Answer the following question by primarily using info...,$8.70,$15 billion,False,1.0,,,,False,8.7,15.0,72.41379310344828,out_of_tolerance,False,8.7,15.0,72.41379310344828,out_of_tolerance,,,,,,
financebench_id_02987,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is the FY2019 fixed asset turnover ratio for Activision Blizzard? Fixed asset turnover ratio is...,24.26,4.06,False,1.0,,,,False,24.26,4.06,83.2646331409728,out_of_tolerance,False,24.26,4.06,83.2646331409728,out_of_tolerance,,,,,,
financebench_id_07966,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is the FY2017 - FY2019 3 year average of capex as a % of revenue for Activision Blizzard? Answe...,1.9%,4.7%,False,1.0,,,,False,1.9,4.7,147.3684210526316,out_of_tolerance,False,1.9,4.7,147.3684210526316,out_of_tolerance,,,,,,
financebench_id_04735,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,You are an investment banker and your only resource(s) to answer the following question is (are): th...,0.66,1.50,False,1.0,,,,False,0.66,1.5,127.27272727272727,out_of_tolerance,False,0.66,1.5,127.27272727272727,out_of_tolerance,,,,,,
financebench_id_07507,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is Adobe's year-over-year change in unadjusted operating income from FY2015 to FY2016 (in units...,65.4%,20.0%,False,1.0,,,,False,65.4,20.0,69.41896024464832,out_of_tolerance,False,65.4,20.0,69.41896024464832,out_of_tolerance,,,,,,
financebench_id_03856,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is the FY2017 operating cash flow ratio for Adobe? Operating cash flow ratio is defined as: cas...,0.83,2.33,False,1.0,,,,False,0.83,2.33,180.72289156626508,out_of_tolerance,False,0.83,2.33,180.72289156626508,out_of_tolerance,,,,,,
financebench_id_10420,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,Based on the information provided primarily in the statement of financial position and the statement...,-0.02,11.11%,False,1.0,,,,False,-0.02,11.11,55649.999999999985,out_of_tolerance,False,-0.02,11.11,55649.999999999985,out_of_tolerance,,,,,,
financebench_id_06655,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is Amazon's FY2017 days payable outstanding (DPO)? DPO is defined as: 365 * (average accounts p...,93.86,10.45,False,1.0,,,,False,93.86,10.45,88.8663967611336,out_of_tolerance,False,93.86,10.45,88.8663967611336,out_of_tolerance,,,,,,
financebench_id_08135,closed_book,metrics-generated,openai,gpt-4o-mini,0.0,metrics_closed_basic,What is Amazon's year-over-year change in revenue from FY2016 to FY2017 (in units of percents and ro...,30.8%,30.1%,False,1.0,,,,True,30.8,30.1,2.2727272727272703,within_tolerance,True,30.8,30.1,2.2727272727272703,within_tolerance,,,,,,
