mode,question_type,provider,model,template_alias,total_queries,num_refusals,refusal_rate_pct,nem_match_count,nem_match_accuracy_pct,nem_incorrect_count,nem_mean_relative_error_pct,nem_median_relative_error_pct,nem_exact_match_count,nem_within_tolerance_count,nem_out_of_tolerance_count,nem_refusal_count,nem_unparseable_count,llm_binary_match_count,llm_binary_match_accuracy_pct,llm_binary_incorrect_count,llm_binary_mean_relative_error_pct,llm_binary_median_relative_error_pct,llm_binary_exact_match_count,llm_binary_within_tolerance_count,llm_binary_out_of_tolerance_count,llm_binary_refusal_count,llm_binary_unparseable_count,avg_accuracy_pct,agreement_count,agreement_rate_pct,disagreement_count
closed_book,metrics-generated,openai,gpt-4o,metrics_closed_basic,50,2,4.0,19,38.0,31,2821.41,9.88,7,12,29,2,0,17,34.0,33,3534.81,16.17,6,11,31,2,0,36.0,48,96.0,2
closed_book,metrics-generated,openai,gpt-4o-mini,metrics_closed_basic,50,2,4.0,9,18.0,41,1321.52,27.2,1,8,38,3,0,8,16.0,42,9350.91,27.77,1,7,39,3,0,17.0,49,98.0,1
oracle,metrics-generated,openai,gpt-4o,metrics_rag_basic,50,0,0.0,47,94.0,3,171.09,0.0,30,17,3,0,0,45,90.0,5,655.7,0.0,29,16,5,0,0,92.0,48,96.0,2
oracle,metrics-generated,openai,gpt-4o-mini,metrics_rag_basic,50,0,0.0,45,90.0,5,173.66,0.0,28,17,5,0,0,43,86.0,7,852.74,0.0,28,15,7,0,0,88.0,48,96.0,2
rag,metrics-generated,openai,gpt-4o-mini,metrics_rag_basic_global_chunk1024_rerank_k20,50,0,0.0,41,82.0,9,2000111.46,0.0,29,12,9,0,0,41,82.0,9,2465.7,0.0,29,12,9,0,0,82.0,48,96.0,2
rag,metrics-generated,openai,gpt-4o-mini,metrics_rag_basic_global_chunk2048_rerank_k20,50,0,0.0,45,90.0,5,2180.22,0.0,30,15,5,0,0,43,86.0,7,2576.15,0.0,30,13,7,0,0,88.0,48,96.0,2
rag,metrics-generated,openai,gpt-4o-mini,metrics_rag_basic_global_chunk512_baseline_k20,50,0,0.0,39,78.0,11,106.27,0.0,27,12,11,0,0,38,76.0,12,1591.2,0.0,27,11,12,0,0,77.0,49,98.0,1
rag,metrics-generated,openai,gpt-4o-mini,metrics_rag_basic_global_chunk512_rerank_k20,50,0,0.0,40,80.0,10,2815.18,0.0,28,12,10,0,0,38,76.0,12,4369.05,0.0,27,11,12,0,0,78.0,48,96.0,2
rag,metrics-generated,openai,gpt-4o-mini,metrics_rag_basic_single_chunk1024_rerank_k20,50,0,0.0,44,88.0,6,2180.39,0.0,28,16,6,0,0,42,84.0,8,2859.14,0.0,28,14,8,0,0,86.0,48,96.0,2
rag,metrics-generated,openai,gpt-4o-mini,metrics_rag_basic_single_chunk2048_rerank_k20,50,0,0.0,45,90.0,5,2181.92,0.0,28,17,5,0,0,43,86.0,7,2861.08,0.0,28,15,7,0,0,88.0,48,96.0,2
rag,metrics-generated,openai,gpt-4o-mini,metrics_rag_basic_single_chunk512_baseline_k20,50,0,0.0,42,84.0,8,2209.32,0.0,28,14,8,0,0,40,80.0,10,2888.03,0.0,27,13,10,0,0,82.0,48,96.0,2
rag,metrics-generated,openai,gpt-4o-mini,metrics_rag_basic_single_chunk512_rerank_k20,50,0,0.0,40,80.0,10,4125.09,0.0,26,14,10,0,0,38,76.0,12,4804.17,0.0,26,12,12,0,0,78.0,48,96.0,2
