method_type,method_subtype,method_name,rank_page_mrr,mode,baseline_page_mrr,baseline_page_recall,baseline_page_precision,baseline_page_f1,baseline_text_mrr,baseline_text_recall,baseline_text_precision,baseline_text_f1,expanded_page_mrr,expanded_page_recall,expanded_page_precision,expanded_page_f1,expanded_text_mrr,expanded_text_recall,expanded_text_precision,expanded_text_f1,delta_page_mrr,delta_page_recall,delta_page_precision,delta_page_f1,delta_text_mrr,delta_text_recall,delta_text_precision,delta_text_f1,pct_page_mrr,pct_page_recall,pct_page_precision,pct_page_f1,pct_text_mrr,pct_text_recall,pct_text_precision,pct_text_f1
query_refinement,formal,query_refinement/formal,1,global,0.24564862124459647,0.5155555555555555,0.037333333333333336,0.06873942482638135,0.19207612903665536,0.4533333333333333,0.04266666666666667,0.07478666394408523,0.3173336166757219,0.6088888888888888,0.04266666666666667,0.07898613463830856,0.2496255966255966,0.5033333333333333,0.051666666666666666,0.08912502793262413,0.07168499543112544,0.09333333333333327,0.005333333333333336,0.010246709811927213,0.05754946758894125,0.04999999999999999,0.008999999999999994,0.014338363988538896,29.18192459942508,18.103448275862057,14.28571428571429,14.906598124450193,29.961801020031302,11.02941176470588,21.093749999999982,19.172354043307873
domain_adaptation,accounting_perspective,domain_adaptation/accounting_perspective,2,global,0.24564862124459647,0.5155555555555555,0.037333333333333336,0.06873942482638135,0.19207612903665536,0.4533333333333333,0.04266666666666667,0.07478666394408523,0.2987122500249435,0.5588888888888889,0.041,0.07561703996486606,0.23750782482051833,0.43666666666666665,0.04733333333333334,0.08126907042649172,0.05306362878034704,0.043333333333333335,0.0036666666666666653,0.006877615138484713,0.04543169578386297,-0.016666666666666663,0.004666666666666666,0.006482406482406486,21.601435624387523,8.405172413793103,9.821428571428568,10.005342866711286,23.652963026547088,-3.6764705882352935,10.937499999999996,8.667864216076147
query_refinement,clarification,query_refinement/clarification,3,global,0.24564862124459647,0.5155555555555555,0.037333333333333336,0.06873942482638135,0.19207612903665536,0.4533333333333333,0.04266666666666667,0.07478666394408523,0.29514165355341826,0.5555555555555555,0.041,0.07558817993600603,0.24484468581527405,0.4533333333333333,0.050333333333333334,0.08655996847101295,0.049493032308821794,0.039999999999999925,0.0036666666666666653,0.006848755109624682,0.05276855677861869,0.0,0.007666666666666662,0.011773304526927722,20.147897455341607,7.7586206896551575,9.821428571428568,9.963358184801416,27.472730236326488,0.0,17.968749999999986,15.742518660452772
term_expansion,abbreviation_synonym,term_expansion/abbreviation_synonym,4,global,0.24564862124459647,0.5155555555555555,0.037333333333333336,0.06873942482638135,0.19207612903665536,0.4533333333333333,0.04266666666666667,0.07478666394408523,0.28150973645091293,0.5488888888888889,0.03833333333333333,0.07083177691873344,0.23253864516403217,0.47,0.04633333333333334,0.0806492511689913,0.03586111520631646,0.033333333333333326,0.000999999999999994,0.00209235209235209,0.04046251612737681,0.016666666666666663,0.0036666666666666653,0.005862587224906068,14.598541210865964,6.46551724137931,2.678571428571412,3.043889438465407,21.065874416729336,3.6764705882352935,8.593749999999996,7.839081081741088
hyde,basic,hyde/basic,5,global,0.24564862124459647,0.5155555555555555,0.037333333333333336,0.06873942482638135,0.19207612903665536,0.4533333333333333,0.04266666666666667,0.07478666394408523,0.27545641939759585,0.5422222222222222,0.03966666666666667,0.07303266781527651,0.19758950240219592,0.42,0.047,0.08066035118009131,0.029807798152999387,0.026666666666666616,0.002333333333333333,0.004293242988895163,0.005513373365540558,-0.033333333333333326,0.004333333333333328,0.005873687236006078,12.134323409582365,5.172413793103439,6.249999999999998,6.245677789330976,2.8704104946265336,-7.352941176470587,10.156249999999986,7.853923314987791
hyde,detailed,hyde/detailed,6,global,0.24564862124459647,0.5155555555555555,0.037333333333333336,0.06873942482638135,0.19207612903665536,0.4533333333333333,0.04266666666666667,0.07478666394408523,0.2662587615056655,0.55,0.04033333333333334,0.07440240918501788,0.18963936579416454,0.44666666666666666,0.04766666666666667,0.08201794607191908,0.020610140261069054,0.0344444444444445,0.0030000000000000027,0.005662984358636533,-0.0024367632424908137,-0.006666666666666654,0.0049999999999999975,0.007231282127833846,8.390089940927123,6.681034482758632,8.035714285714292,8.238335384591624,-1.2686444977375546,-1.470588235294115,11.718749999999993,9.669213395105263
chain_of_thought,explicit_context,chain_of_thought/explicit_context,7,global,0.24564862124459647,0.5155555555555555,0.037333333333333336,0.06873942482638135,0.19207612903665536,0.4533333333333333,0.04266666666666667,0.07478666394408523,0.2563753581586399,0.5188888888888888,0.038,0.0699948360817926,0.21309655703773353,0.3933333333333333,0.041666666666666664,0.07217483133225261,0.010726736914043411,0.0033333333333332993,0.0006666666666666626,0.0012554112554112595,0.021020428001078173,-0.06,-0.0010000000000000078,-0.0026118326118326207,4.366699417931037,0.6465517241379244,1.785714285714275,1.8263336630792524,10.943800307984489,-13.23529411764706,-2.343750000000018,-3.492377482949869
hyde,financial_terminology,hyde/financial_terminology,8,global,0.24564862124459647,0.5155555555555555,0.037333333333333336,0.06873942482638135,0.19207612903665536,0.4533333333333333,0.04266666666666667,0.07478666394408523,0.2510076583203518,0.5266666666666666,0.03933333333333334,0.07241859589685677,0.1945983015952056,0.4166666666666667,0.044,0.07570568132886973,0.005359037075755357,0.011111111111111072,0.0020000000000000018,0.003679171070475426,0.002522172558550251,-0.036666666666666625,0.0013333333333333253,0.000919017384784504,2.181586466312495,2.155172413793096,5.357142857142862,5.352344858526377,1.3131108853557358,-8.088235294117638,3.1249999999999805,1.2288519587818676
term_expansion,context_addition,term_expansion/context_addition,9,global,0.24564862124459647,0.5155555555555555,0.037333333333333336,0.06873942482638135,0.19207612903665536,0.4533333333333333,0.04266666666666667,0.07478666394408523,0.24120310136486608,0.5355555555555556,0.03833333333333333,0.07061595409421496,0.19627374477374476,0.43,0.04266666666666667,0.07453445238752585,-0.004445519879730381,0.020000000000000018,0.000999999999999994,0.0018765292678336182,0.004197615737089405,-0.023333333333333317,0.0,-0.0002522115565593841,-1.8097068313295768,3.87931034482759,2.678571428571412,2.729917034617708,2.1853916768014114,-5.147058823529409,0.0,-0.3372413519447155
domain_adaptation,10k_language,domain_adaptation/10k_language,10,global,0.24564862124459647,0.5155555555555555,0.037333333333333336,0.06873942482638135,0.19207612903665536,0.4533333333333333,0.04266666666666667,0.07478666394408523,0.2379998695261853,0.5688888888888889,0.04033333333333334,0.07454921889704498,0.19668503961925013,0.44333333333333336,0.04633333333333334,0.08025392668671029,-0.007648751718411173,0.053333333333333344,0.0030000000000000027,0.005809794070663635,0.004608910582594772,-0.009999999999999953,0.0036666666666666653,0.005467262742625059,-3.113696172874173,10.344827586206899,8.035714285714292,8.451909636046166,2.3995228380072247,-2.2058823529411664,8.593749999999996,7.310478171232101
