method_type,method_subtype,method_name,rank_page_mrr,mode,baseline_page_mrr,baseline_page_recall,baseline_page_precision,baseline_page_f1,baseline_text_mrr,baseline_text_recall,baseline_text_precision,baseline_text_f1,expanded_page_mrr,expanded_page_recall,expanded_page_precision,expanded_page_f1,expanded_text_mrr,expanded_text_recall,expanded_text_precision,expanded_text_f1,delta_page_mrr,delta_page_recall,delta_page_precision,delta_page_f1,delta_text_mrr,delta_text_recall,delta_text_precision,delta_text_f1,pct_page_mrr,pct_page_recall,pct_page_precision,pct_page_f1,pct_text_mrr,pct_text_recall,pct_text_precision,pct_text_f1
query_refinement,clarification,query_refinement/clarification,1,global,0.40164551392879566,0.7388888888888888,0.05766666666666667,0.10576886881234708,0.2857671580798516,0.5533333333333333,0.053,0.09356616330529373,0.4205387818808871,0.7766666666666666,0.059333333333333335,0.1088481084133258,0.3237386838307891,0.5755555555555555,0.056666666666666664,0.09986489006578961,0.018893267952091453,0.0377777777777778,0.0016666666666666635,0.0030792396009787226,0.037971525750937485,0.022222222222222143,0.0036666666666666653,0.006298726760495879,4.7039658845637895,5.112781954887222,2.8901734104046186,2.9112910401281167,13.287575103478877,4.0160642570280976,6.9182389937106885,6.731842514418365
chain_of_thought,explicit_context,chain_of_thought/explicit_context,2,global,0.40164551392879566,0.7388888888888888,0.05766666666666667,0.10576886881234708,0.2857671580798516,0.5533333333333333,0.053,0.09356616330529373,0.41305424789635314,0.7377777777777778,0.05766666666666667,0.1054696028609072,0.3160796542638648,0.5644444444444445,0.05766666666666667,0.10130119692438533,0.011408733967557483,-0.0011111111111110628,0.0,-0.0002992659514398782,0.030312496184013216,0.011111111111111183,0.004666666666666673,0.0077350336190916,2.84049829312423,-0.15037593984961753,0.0,-0.2829433223596535,10.607410728262563,2.008032128514069,8.805031446540893,8.266913321916633
chain_of_thought,step_by_step,chain_of_thought/step_by_step,3,global,0.40164551392879566,0.7388888888888888,0.05766666666666667,0.10576886881234708,0.2857671580798516,0.5533333333333333,0.053,0.09356616330529373,0.4040338139386127,0.75,0.054666666666666676,0.10065876152832674,0.2949958950291768,0.5633333333333334,0.051000000000000004,0.09087822322604931,0.002388300009817046,0.011111111111111183,-0.0029999999999999957,-0.005110107284020338,0.00922873694932519,0.010000000000000009,-0.001999999999999995,-0.0026879400792444164,0.5946288274093477,1.5037593984962505,-5.202312138728315,-4.831390693122173,3.2294603100424903,1.8072289156626522,-3.7735849056603676,-2.8727693690656437
term_expansion,context_addition,term_expansion/context_addition,4,global,0.40164551392879566,0.7388888888888888,0.05766666666666667,0.10576886881234708,0.2857671580798516,0.5533333333333333,0.053,0.09356616330529373,0.4019115572536625,0.7188888888888889,0.05533333333333334,0.10155530459878286,0.2876359902280955,0.5633333333333334,0.05266666666666667,0.09357706598286308,0.00026604332486684923,-0.019999999999999907,-0.002333333333333333,-0.004213564213564225,0.001868832148243904,0.010000000000000009,-0.0003333333333333313,1.0902677569354924e-05,0.06623834093513958,-2.7067669172932205,-4.0462427745664735,-3.983747071210379,0.6539702325491505,1.8072289156626522,-0.6289308176100591,0.011652372165545532
hyde,financial_terminology,hyde/financial_terminology,5,global,0.40164551392879566,0.7388888888888888,0.05766666666666667,0.10576886881234708,0.2857671580798516,0.5533333333333333,0.053,0.09356616330529373,0.39670088176357526,0.7822222222222222,0.057,0.10496768931551541,0.276929042491736,0.5866666666666667,0.050333333333333334,0.09037303330056953,-0.004944632165220397,0.043333333333333335,-0.0006666666666666696,-0.0008011794968316721,-0.008838115588115592,0.033333333333333326,-0.0026666666666666644,-0.0031931300047241956,-1.2310935871916622,5.86466165413534,-1.1560693641618547,-0.7574813892101919,-3.092768128955521,6.024096385542167,-5.031446540880499,-3.4126973811092842
domain_adaptation,10k_language,domain_adaptation/10k_language,6,global,0.40164551392879566,0.7388888888888888,0.05766666666666667,0.10576886881234708,0.2857671580798516,0.5533333333333333,0.053,0.09356616330529373,0.39127120004751587,0.75,0.05433333333333334,0.10021017629713282,0.2938139100608141,0.56,0.05366666666666667,0.09455840910713474,-0.010374313881279795,0.011111111111111183,-0.003333333333333334,-0.005558692515214264,0.008046751980962497,0.00666666666666671,0.0006666666666666696,0.000992245801841013,-2.5829527584662553,1.5037593984962505,-5.780346820809249,-5.255509090369852,2.8158421125194524,1.2048192771084414,1.2578616352201313,1.0604750336972235
hyde,detailed,hyde/detailed,7,global,0.40164551392879566,0.7388888888888888,0.05766666666666667,0.10576886881234708,0.2857671580798516,0.5533333333333333,0.053,0.09356616330529373,0.3843707886540704,0.7766666666666666,0.058333333333333334,0.10723884810841333,0.2676623277250212,0.5788888888888889,0.051666666666666666,0.09217459405865203,-0.017274725274725233,0.0377777777777778,0.0006666666666666626,0.001469979296066251,-0.018104830354830403,0.025555555555555554,-0.0013333333333333322,-0.0013915692466417023,-4.300987979611226,5.112781954887222,1.1560693641618425,1.3898033632885474,-6.335518215767605,4.618473895582329,-2.5157232704402497,-1.4872569286625554
term_expansion,abbreviation_synonym,term_expansion/abbreviation_synonym,8,global,0.40164551392879566,0.7388888888888888,0.05766666666666667,0.10576886881234708,0.2857671580798516,0.5533333333333333,0.053,0.09356616330529373,0.37909487734487735,0.7488888888888888,0.057,0.10455047368090846,0.2846473063973064,0.56,0.052,0.09280268523746785,-0.022550636583918315,0.010000000000000009,-0.0006666666666666696,-0.001218395131438621,-0.001119851682545192,0.00666666666666671,-0.0010000000000000009,-0.0007634780678258818,-5.614562045853232,1.353383458646618,-1.1560693641618547,-1.1519411572797211,-0.3918755710312496,1.2048192771084414,-1.8867924528301903,-0.815976674532177
hyde,basic,hyde/basic,9,global,0.40164551392879566,0.7388888888888888,0.05766666666666667,0.10576886881234708,0.2857671580798516,0.5533333333333333,0.053,0.09356616330529373,0.3714884923011858,0.74,0.052000000000000005,0.09598280946107032,0.2565452568873621,0.5366666666666666,0.046,0.08267380499264557,-0.03015702162760986,0.0011111111111111738,-0.005666666666666667,-0.009786059351276757,-0.029221901192489463,-0.01666666666666672,-0.006999999999999999,-0.010892358312648162,-7.508367598238914,0.15037593984963255,-9.826589595375722,-9.252305958418615,-10.225773104523096,-3.012048192771094,-13.20754716981132,-11.64134333167843
query_refinement,keyword_focused,query_refinement/keyword_focused,10,global,0.40164551392879566,0.7388888888888888,0.05766666666666667,0.10576886881234708,0.2857671580798516,0.5533333333333333,0.053,0.09356616330529373,0.36892931248891003,0.7422222222222222,0.05566666666666666,0.10233452537800364,0.26846552071939067,0.5533333333333333,0.05066666666666667,0.09042736544185818,-0.03271620143988563,0.0033333333333334103,-0.0020000000000000087,-0.0034343434343434426,-0.01730163736046092,0.0,-0.002333333333333326,-0.003138797863435544,-8.145541355575954,0.4511278195488826,-3.468208092485564,-3.247026722424897,-6.054452679837459,0.0,-4.402515723270427,-3.3546292297933293
