query_id,question,company,question_type,baseline_rank,baseline_mrr,rerank_rank,rerank_mrr,rank_improvement,mrr_improvement
financebench_id_03029,What is the FY2018 capital expenditure amount (in USD millions) for 3M? Give a response to the question by relying on the details shown in the cash flow statement.,3M,metrics-generated,4,0.25,1,1.0,3,0.75
financebench_id_04672,Assume that you are a public equities analyst. Answer the following question by primarily using information that is shown in the balance sheet: what is the year end FY2018 net PPNE for 3M? Answer in USD billions.,3M,metrics-generated,2,0.5,1,1.0,1,0.5
financebench_id_00499,Is 3M a capital-intensive business based on FY2022 data?,3M,domain-relevant,8,0.125,3,0.3333333333333333,5,0.20833333333333331
financebench_id_01226,"What drove operating margin change as of FY2022 for 3M? If operating margin is not a useful metric for a company like this, then please state that and explain why.",3M,domain-relevant,4,0.25,2,0.5,2,0.25
financebench_id_01865,"If we exclude the impact of M&A, which segment has dragged down 3M's overall growth in 2022?",3M,novel-generated,15,0.06666666666666667,4,0.25,11,0.18333333333333335
financebench_id_00807,"Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If the quick ratio is not relevant to measure liquidity, please state that and explain why.",3M,domain-relevant,3,0.3333333333333333,1,1.0,2,0.6666666666666667
financebench_id_00941,Which debt securities are registered to trade on a national securities exchange under 3M's name as of Q2 of 2023?,3M,domain-relevant,1,1.0,1,1.0,0,0.0
financebench_id_01858,Does 3M maintain a stable trend of dividend distribution?,3M,novel-generated,6,0.16666666666666666,3,0.3333333333333333,3,0.16666666666666666
financebench_id_02987,What is the FY2019 fixed asset turnover ratio for Activision Blizzard? Fixed asset turnover ratio is defined as: FY2019 revenue / (average PP&E between FY2018 and FY2019). Round your answer to two decimal places. Base your judgments on the information provided primarily in the statement of income and the statement of financial position.,Activision Blizzard,metrics-generated,12,0.08333333333333333,1,1.0,11,0.9166666666666666
financebench_id_07966,What is the FY2017 - FY2019 3 year average of capex as a % of revenue for Activision Blizzard? Answer in units of percents and round to one decimal place. Calculate (or extract) the answer from the statement of income and the cash flow statement.,Activision Blizzard,metrics-generated,1,1.0,1,1.0,0,0.0
financebench_id_04735,You are an investment banker and your only resource(s) to answer the following question is (are): the statement of financial position and the cash flow statement. Here's the question: what is the FY2015 operating cash flow ratio for Adobe? Operating cash flow ratio is defined as: cash from operations / total current liabilities. Round your answer to two decimal places.,Adobe,metrics-generated,2,0.5,2,0.5,0,0.0
financebench_id_07507,What is Adobe's year-over-year change in unadjusted operating income from FY2015 to FY2016 (in units of percents and round to one decimal place)? Give a solution to the question by using the income statement.,Adobe,metrics-generated,1,1.0,1,1.0,0,0.0
financebench_id_03856,What is the FY2017 operating cash flow ratio for Adobe? Operating cash flow ratio is defined as: cash from operations / total current liabilities. Round your answer to two decimal places. Please utilize information provided primarily within the balance sheet and the cash flow statement.,Adobe,metrics-generated,2,0.5,1,1.0,1,0.5
financebench_id_00438,"Does Adobe have an improving operating margin profile as of FY2022? If operating margin is not a useful metric for a company like this, then state that and explain why.",Adobe,domain-relevant,1,1.0,1,1.0,0,0.0
financebench_id_00591,Does Adobe have an improving Free cashflow conversion as of FY2022?,Adobe,novel-generated,1,1.0,1,1.0,0,0.0
financebench_id_01319,What is the quantity of restructuring costs directly outlined in AES Corporation's income statements for FY2022? If restructuring costs are not explicitly outlined then state 0.,AES Corporation,domain-relevant,11,0.09090909090909091,1,1.0,10,0.9090909090909091
financebench_id_00540,Roughly how many times has AES Corporation sold its inventory in FY2022? Calculate inventory turnover ratio for the FY2022; if conventional inventory management is not meaningful for the company then state that and explain why.,AES Corporation,domain-relevant,3,0.3333333333333333,1,1.0,2,0.6666666666666667
financebench_id_10420,"Based on the information provided primarily in the statement of financial position and the statement of income, what is AES's FY2022 return on assets (ROA)? ROA is defined as: FY2022 net income / (average total assets between FY2021 and FY2022). Round your answer to two decimal places.",AES Corporation,metrics-generated,6,0.16666666666666666,3,0.3333333333333333,3,0.16666666666666666
financebench_id_06655,What is Amazon's FY2017 days payable outstanding (DPO)? DPO is defined as: 365 * (average accounts payable between FY2016 and FY2017) / (FY2017 COGS + change in inventory between FY2016 and FY2017). Round your answer to two decimal places. Address the question by using the line items and information shown within the balance sheet and the P&L statement.,Amazon,metrics-generated,3,0.3333333333333333,1,1.0,2,0.6666666666666667
financebench_id_08135,What is Amazon's year-over-year change in revenue from FY2016 to FY2017 (in units of percents and round to one decimal place)? Calculate what was asked by utilizing the line items clearly shown in the statement of income.,Amazon,metrics-generated,1,1.0,1,1.0,0,0.0
financebench_id_08286,"By drawing conclusions from the information stated only in the income statement, what is Amazon's FY2019 net income attributable to shareholders (in USD millions)?",Amazon,metrics-generated,2,0.5,1,1.0,1,0.5
financebench_id_03882,What is Amcor's year end FY2020 net AR (in USD millions)? Address the question by adopting the perspective of a financial analyst who can only use the details shown within the balance sheet.,Amcor,metrics-generated,1,1.0,1,1.0,0,0.0
financebench_id_01935,What was the key agenda of the AMCOR's 8k filing dated 1st July 2022?,Amcor,novel-generated,1,1.0,1,1.0,0,0.0
financebench_id_00799,"Has AMCOR's quick ratio improved or declined between FY2023 and FY2022? If the quick ratio is not something that a financial analyst would ask about a company like this, then state that and explain why.",Amcor,domain-relevant,1,1.0,1,1.0,0,0.0
financebench_id_01079,"What are major acquisitions that AMCOR has done in FY2023, FY2022 and FY2021?",Amcor,domain-relevant,3,0.3333333333333333,1,1.0,2,0.6666666666666667
financebench_id_01148,What industry does AMCOR primarily operate in?,Amcor,domain-relevant,2,0.5,2,0.5,0,0.0
financebench_id_00684,"Does AMCOR have an improving gross margin profile as of FY2023? If gross margin is not a useful metric for a company like this, then state that and explain why.",Amcor,domain-relevant,2,0.5,2,0.5,0,0.0
financebench_id_01936,What is the nature & purpose of AMCOR's restructuring liability as oF Q2 of FY2023 close?,Amcor,novel-generated,1,1.0,1,1.0,0,0.0
financebench_id_01928,What Was AMCOR's Adjusted Non GAAP EBITDA for FY 2023,Amcor,novel-generated,3,0.3333333333333333,2,0.5,1,0.16666666666666669
financebench_id_01930,"How much was the Real change in Sales for AMCOR in FY 2023 vs FY 2022, if we exclude the impact of FX movement, passthrough costs and one-off items?",Amcor,novel-generated,1,1.0,4,0.25,-3,-0.75
financebench_id_03069,"Answer the following question as if you are an equity research analyst and have lost internet connection so you do not have access to financial metric providers. According to the details clearly outlined within the P&L statement and the statement of cash flows, what is the FY2015 depreciation and amortization (D&A from cash flow statement) % margin for AMD?",AMD,metrics-generated,1,1.0,1,1.0,0,0.0
financebench_id_00222,"Does AMD have a reasonably healthy liquidity profile based on its quick ratio for FY22? If the quick ratio is not relevant to measure liquidity, please state that and explain why.",AMD,domain-relevant,1,1.0,1,1.0,0,0.0
financebench_id_00995,What are the major products and services that AMD sells as of FY22?,AMD,domain-relevant,2,0.5,9,0.1111111111111111,-7,-0.3888888888888889
financebench_id_01198,What drove revenue change as of the FY22 for AMD?,AMD,domain-relevant,1,1.0,1,1.0,0,0.0
financebench_id_00917,"What drove operating margin change as of the FY22 for AMD? If operating margin is not a useful metric for a company like this, then please state that and explain why.",AMD,domain-relevant,1,1.0,1,1.0,0,0.0
financebench_id_01279,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for AMD in FY22?",AMD,domain-relevant,1,1.0,1,1.0,0,0.0
financebench_id_00563,"From FY21 to FY22, excluding Embedded, in which AMD reporting segment did sales proportionally increase the most?",AMD,novel-generated,2,0.5,1,1.0,1,0.5
financebench_id_00757,Did AMD report customer concentration in FY22?,AMD,novel-generated,1,1.0,1,1.0,0,0.0
financebench_id_00476,Which debt securities are registered to trade on a national securities exchange under American Express' name as of 2022?,American Express,domain-relevant,3,0.3333333333333333,5,0.2,-2,-0.1333333333333333
financebench_id_01028,What are the geographies that American Express primarily operates in as of 2022?,American Express,domain-relevant,-1,0.0,5,0.2,0,0.2
financebench_id_00723,"Does AMEX have an improving operating margin profile as of 2022? If operating margin is not a useful metric for a company like this, then state that and explain why.",American Express,domain-relevant,14,0.07142857142857142,3,0.3333333333333333,11,0.26190476190476186
financebench_id_00720,"What drove gross margin change as of the FY2022 for American Express? If gross margin is not a useful metric for a company like this, then please state that and explain why.",American Express,domain-relevant,-1,0.0,10,0.1,0,0.1
financebench_id_01351,How much has the effective tax rate of American Express changed between FY2021 and FY2022?,American Express,domain-relevant,2,0.5,2,0.5,0,0.0
financebench_id_01964,What was the largest liability in American Express's Balance Sheet in 2022?,American Express,novel-generated,3,0.3333333333333333,1,1.0,2,0.6666666666666667
financebench_id_01981,Was American Express able to retain card members during 2022?,American Express,novel-generated,4,0.25,1,1.0,3,0.75
financebench_id_05718,How much (in USD billions) did American Water Works pay out in cash dividends for FY2020? Compute or extract the answer by primarily using the details outlined in the statement of cash flows.,American Water Works,metrics-generated,2,0.5,1,1.0,1,0.5
financebench_id_04254,"Basing your judgments off of the cash flow statement and the income statement, what is American Water Works's FY2021 unadjusted operating income + depreciation and amortization from the cash flow statement (unadjusted EBITDA) in USD millions?",American Water Works,metrics-generated,1,1.0,1,1.0,0,0.0
financebench_id_00070,"Does American Water Works have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.",American Water Works,domain-relevant,2,0.5,1,1.0,1,0.5
financebench_id_02608,"In agreement with the information outlined in the income statement, what is the FY2015 - FY2017 3 year average net profit margin (as a %) for Best Buy? Answer in units of percents and round to one decimal place.",Best Buy,metrics-generated,3,0.3333333333333333,1,1.0,2,0.6666666666666667
financebench_id_04417,What is the year end FY2019 total amount of inventories for Best Buy? Answer in USD millions. Base your judgments on the information provided primarily in the balance sheet.,Best Buy,metrics-generated,1,1.0,1,1.0,0,0.0
financebench_id_00685,"Are Best Buy's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If gross margins are not a relevant metric for a company like this, then please state that and explain why.",Best Buy,domain-relevant,5,0.2,3,0.3333333333333333,2,0.1333333333333333
financebench_id_01077,"What are major acquisitions that Best Buy has done in FY2023, FY2022 and FY2021?",Best Buy,domain-relevant,1,1.0,1,1.0,0,0.0
financebench_id_01275,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for Best Buy in FY2023?",Best Buy,domain-relevant,1,1.0,2,0.5,-1,-0.5
