provider,model,chunk_size,mode,reranker_model,k_retrieve,k_rerank,question_id,question,doc_name,evidence_pages,initial_mrr_k_retrieve,initial_recall_k_retrieve,initial_precision_k_retrieve,initial_f1_k_retrieve,initial_mrr_k_rerank,initial_recall_k_rerank,initial_precision_k_rerank,initial_f1_k_rerank,reranked_mrr,reranked_recall,reranked_precision,reranked_f1,mrr_improvement,recall_improvement,precision_improvement,f1_improvement
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,0,What is the FY2018 capital expenditure amount (in USD millions) for 3M? Give a response to the question by relying on the details shown in the cash flow statement.,3M_2018_10K,[59],0.0417,1.0,0.0125,0.0247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,1,Assume that you are a public equities analyst. Answer the following question by primarily using information that is shown in the balance sheet: what is the year end FY2018 net PPNE for 3M? Answer in USD billions.,3M_2018_10K,[57],0.0192,1.0,0.0125,0.0247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,2,Is 3M a capital-intensive business based on FY2022 data?,3M_2022_10K,"[47, 49, 51]",0.0227,0.6667,0.025,0.0482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,3,"What drove operating margin change as of FY2022 for 3M? If operating margin is not a useful metric for a company like this, then please state that and explain why.",3M_2022_10K,[26],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,4,"If we exclude the impact of M&A, which segment has dragged down 3M's overall growth in 2022?",3M_2022_10K,[24],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,5,"Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If the quick ratio is not relevant to measure liquidity, please state that and explain why.",3M_2023Q2_10Q,[4],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,6,Which debt securities are registered to trade on a national securities exchange under 3M's name as of Q2 of 2023?,3M_2023Q2_10Q,[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,7,Does 3M maintain a stable trend of dividend distribution?,3M_2023Q2_10Q,[61],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,8,What is the FY2019 fixed asset turnover ratio for Activision Blizzard? Fixed asset turnover ratio is defined as: FY2019 revenue / (average PP&E between FY2018 and FY2019). Round your answer to two decimal places. Base your judgments on the information provided primarily in the statement of income and the statement of financial position.,ACTIVISIONBLIZZARD_2019_10K,"[68, 69]",1.0,1.0,0.15,0.2609,1.0,1.0,0.25,0.4,0.2,1.0,0.35,0.5185,-0.8,0.0,0.09999999999999998,0.11849999999999994
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,9,What is the FY2017 - FY2019 3 year average of capex as a % of revenue for Activision Blizzard? Answer in units of percents and round to one decimal place. Calculate (or extract) the answer from the statement of income and the cash flow statement.,ACTIVISIONBLIZZARD_2019_10K,"[69, 72]",1.0,1.0,0.125,0.2222,1.0,1.0,0.3,0.4615,0.1111,1.0,0.15,0.2609,-0.8889,0.0,-0.15,-0.2006
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,10,You are an investment banker and your only resource(s) to answer the following question is (are): the statement of financial position and the cash flow statement. Here's the question: what is the FY2015 operating cash flow ratio for Adobe? Operating cash flow ratio is defined as: cash from operations / total current liabilities. Round your answer to two decimal places.,ADOBE_2015_10K,"[58, 62]",0.5,1.0,0.025,0.0488,0.5,0.5,0.05,0.0909,0.0,0.0,0.0,0.0,-0.5,-0.5,-0.05,-0.0909
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,11,What is Adobe's year-over-year change in unadjusted operating income from FY2015 to FY2016 (in units of percents and round to one decimal place)? Give a solution to the question by using the income statement.,ADOBE_2016_10K,[61],0.0526,1.0,0.0125,0.0247,0.0526,1.0,0.05,0.0952,0.0667,1.0,0.05,0.0952,0.014099999999999994,0.0,0.0,0.0
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,12,What is the FY2017 operating cash flow ratio for Adobe? Operating cash flow ratio is defined as: cash from operations / total current liabilities. Round your answer to two decimal places. Please utilize information provided primarily within the balance sheet and the cash flow statement.,ADOBE_2017_10K,"[56, 60]",0.3333,1.0,0.025,0.0488,0.3333,1.0,0.05,0.0952,0.5,1.0,0.1,0.1818,0.16670000000000001,0.0,0.05,0.08659999999999998
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,13,"Does Adobe have an improving operating margin profile as of FY2022? If operating margin is not a useful metric for a company like this, then state that and explain why.",ADOBE_2022_10K,[53],0.0769,1.0,0.0125,0.0247,0.0769,1.0,0.05,0.0952,0.0526,1.0,0.05,0.0952,-0.024299999999999995,0.0,0.0,0.0
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,14,Does Adobe have an improving Free cashflow conversion as of FY2022?,ADOBE_2022_10K,[56],1.0,1.0,0.0375,0.0723,1.0,1.0,0.05,0.0952,0.0909,1.0,0.05,0.0952,-0.9091,0.0,0.0,0.0
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,15,What is the quantity of restructuring costs directly outlined in AES Corporation's income statements for FY2022? If restructuring costs are not explicitly outlined then state 0.,AES_2022_10K,[131],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,16,Roughly how many times has AES Corporation sold its inventory in FY2022? Calculate inventory turnover ratio for the FY2022; if conventional inventory management is not meaningful for the company then state that and explain why.,AES_2022_10K,"[129, 131]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,17,"Based on the information provided primarily in the statement of financial position and the statement of income, what is AES's FY2022 return on assets (ROA)? ROA is defined as: FY2022 net income / (average total assets between FY2021 and FY2022). Round your answer to two decimal places.",AES_2022_10K,"[129, 131]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,18,What is Amazon's FY2017 days payable outstanding (DPO)? DPO is defined as: 365 * (average accounts payable between FY2016 and FY2017) / (FY2017 COGS + change in inventory between FY2016 and FY2017). Round your answer to two decimal places. Address the question by using the line items and information shown within the balance sheet and the P&L statement.,AMAZON_2017_10K,"[37, 39]",0.1111,1.0,0.0375,0.0723,0.1111,1.0,0.15,0.2609,0.5,1.0,0.1,0.1818,0.3889,0.0,-0.04999999999999999,-0.07910000000000003
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,19,What is Amazon's year-over-year change in revenue from FY2016 to FY2017 (in units of percents and round to one decimal place)? Calculate what was asked by utilizing the line items clearly shown in the statement of income.,AMAZON_2017_10K,[37],0.25,1.0,0.0375,0.0723,0.25,1.0,0.1,0.1818,0.25,1.0,0.1,0.1818,0.0,0.0,0.0,0.0
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,20,"By drawing conclusions from the information stated only in the income statement, what is Amazon's FY2019 net income attributable to shareholders (in USD millions)?",AMAZON_2019_10K,[37],0.5,1.0,0.025,0.0488,0.5,1.0,0.1,0.1818,0.25,1.0,0.1,0.1818,-0.25,0.0,0.0,0.0
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,21,What is Amcor's year end FY2020 net AR (in USD millions)? Address the question by adopting the perspective of a financial analyst who can only use the details shown within the balance sheet.,AMCOR_2020_10K,[49],1.0,1.0,0.05,0.0952,1.0,1.0,0.15,0.2609,1.0,1.0,0.2,0.3333,0.0,0.0,0.05000000000000002,0.07239999999999996
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,22,What was the key agenda of the AMCOR's 8k filing dated 1st July 2022?,AMCOR_2022_8K_dated-2022-07-01,[1],0.1111,1.0,0.0125,0.0247,0.1111,1.0,0.05,0.0952,0.3333,1.0,0.05,0.0952,0.22219999999999998,0.0,0.0,0.0
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,23,"Has AMCOR's quick ratio improved or declined between FY2023 and FY2022? If the quick ratio is not something that a financial analyst would ask about a company like this, then state that and explain why.",AMCOR_2023_10K,[51],0.0476,1.0,0.025,0.0488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ollama,nomic-embed-text,512,global,cross-encoder/ms-marco-MiniLM-L-12-v2,80,20,24,"What are major acquisitions that AMCOR has done in FY2023, FY2022 and FY2021?",AMCOR_2023_10K,[63],0.0233,1.0,0.0125,0.0247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
