Model,Chunk Size,MRR,Recall,Precision,F1
voyage/voyage-3-large,4096,0.5465,0.8578,0.1002,0.1709
voyage/voyage-3-large,2048,0.5465,0.8578,0.0999,0.1705
voyage/voyage-3-large,4096,0.5462,0.8378,0.1129,0.1895
voyage/voyage-3-large,2048,0.5462,0.8378,0.1124,0.1888
voyage/voyage-3-large,2048,0.5462,0.8378,0.1345,0.2198
voyage/voyage-3-large,4096,0.5451,0.8078,0.1757,0.2704
voyage/voyage-3-large,2048,0.5451,0.8078,0.176,0.2708
voyage/voyage-3-large,4096,0.5428,0.8378,0.1347,0.22
voyage/voyage-3-large,1024,0.5369,0.8478,0.1305,0.2148
voyage/voyage-3-large,1024,0.5369,0.85,0.1069,0.1814
voyage/voyage-3-large,1024,0.5358,0.8144,0.1743,0.2693
voyage/voyage-3-large,1024,0.5344,0.87,0.0937,0.1617
voyage/voyage-3-large,512,0.5073,0.8889,0.0975,0.1685
voyage/voyage-3-large,512,0.5072,0.8822,0.1106,0.1872
voyage/voyage-3-large,512,0.5064,0.8556,0.1308,0.215
voyage/voyage-3-large,512,0.5056,0.8267,0.167,0.2602
ollama/bge-m3,512,0.4082,0.8089,0.1046,0.173
ollama/bge-m3,512,0.4078,0.7722,0.1206,0.1928
ollama/bge-m3,512,0.407,0.7311,0.1473,0.2235
ollama/bge-m3,512,0.4038,0.6344,0.1973,0.2723
ollama/bge-m3,1024,0.3944,0.7378,0.0674,0.1181
ollama/bge-m3,1024,0.394,0.7111,0.0813,0.1387
ollama/bge-m3,1024,0.3934,0.6778,0.104,0.1699
ollama/bge-m3,1024,0.3899,0.5878,0.1577,0.2309
ollama/nomic-embed-text,512,0.376,0.7567,0.0974,0.1605
ollama/nomic-embed-text,512,0.3758,0.7433,0.1139,0.1824
ollama/nomic-embed-text,512,0.3752,0.7167,0.1408,0.2143
ollama/nomic-embed-text,512,0.3728,0.6478,0.1827,0.2574
ollama/nomic-embed-text,1024,0.3316,0.72,0.0599,0.1063
ollama/nomic-embed-text,1024,0.3314,0.7011,0.0706,0.1222
ollama/nomic-embed-text,1024,0.3298,0.6344,0.0892,0.147
ollama/nomic-embed-text,1024,0.3274,0.5622,0.1347,0.2001
