Model,Chunk Size,K,Mode,MRR,Recall,Precision,F1
ollama/bge-m3,512,20,global,0.4038,0.6344,0.1973,0.2723
ollama/bge-m3,512,40,global,0.407,0.7311,0.1473,0.2235
ollama/bge-m3,512,60,global,0.4078,0.7722,0.1206,0.1928
ollama/bge-m3,512,80,global,0.4082,0.8089,0.1046,0.173
ollama/bge-m3,512,20,singledoc,0.4862,0.7544,0.1807,0.2716
ollama/bge-m3,512,40,singledoc,0.4876,0.8156,0.1301,0.2099
ollama/bge-m3,512,60,singledoc,0.4879,0.8356,0.1061,0.1777
ollama/bge-m3,512,80,singledoc,0.488,0.8422,0.0949,0.1613
ollama/bge-m3,1024,20,global,0.3899,0.5878,0.1577,0.2309
ollama/bge-m3,1024,40,global,0.3934,0.6778,0.104,0.1699
ollama/bge-m3,1024,60,global,0.394,0.7111,0.0813,0.1387
ollama/bge-m3,1024,80,global,0.3944,0.7378,0.0674,0.1181
ollama/bge-m3,1024,20,singledoc,0.4326,0.5867,0.1213,0.1919
ollama/bge-m3,1024,40,singledoc,0.4339,0.61,0.0962,0.1581
ollama/bge-m3,1024,60,singledoc,0.4342,0.6189,0.0828,0.1391
ollama/bge-m3,1024,80,singledoc,0.4346,0.6256,0.0762,0.1296
ollama/nomic-embed-text,512,20,global,0.3728,0.6478,0.1827,0.2574
ollama/nomic-embed-text,512,40,global,0.3752,0.7167,0.1408,0.2143
ollama/nomic-embed-text,512,60,global,0.3758,0.7433,0.1139,0.1824
ollama/nomic-embed-text,512,80,global,0.376,0.7567,0.0974,0.1605
ollama/nomic-embed-text,512,20,singledoc,0.4504,0.7544,0.1877,0.2758
ollama/nomic-embed-text,512,40,singledoc,0.4568,0.7878,0.1352,0.2154
ollama/nomic-embed-text,512,60,singledoc,0.4575,0.8189,0.1166,0.191
ollama/nomic-embed-text,512,80,singledoc,0.4571,0.8289,0.1031,0.1724
ollama/nomic-embed-text,1024,20,global,0.3274,0.5622,0.1347,0.2001
ollama/nomic-embed-text,1024,40,global,0.3298,0.6344,0.0892,0.147
ollama/nomic-embed-text,1024,60,global,0.3314,0.7011,0.0706,0.1222
ollama/nomic-embed-text,1024,80,global,0.3316,0.72,0.0599,0.1063
ollama/nomic-embed-text,1024,20,singledoc,0.3988,0.5889,0.1396,0.2076
ollama/nomic-embed-text,1024,40,singledoc,0.4077,0.6489,0.1014,0.1617
ollama/nomic-embed-text,1024,60,singledoc,0.4103,0.6944,0.0872,0.1436
ollama/nomic-embed-text,1024,80,singledoc,0.4111,0.7011,0.0766,0.1281
voyage/voyage-3-large,512,20,global,0.5056,0.8267,0.167,0.2602
voyage/voyage-3-large,512,40,global,0.5064,0.8556,0.1308,0.215
voyage/voyage-3-large,512,60,global,0.5072,0.8822,0.1106,0.1872
voyage/voyage-3-large,512,80,global,0.5073,0.8889,0.0975,0.1685
voyage/voyage-3-large,512,20,singledoc,0.5541,0.8322,0.1592,0.2519
voyage/voyage-3-large,512,40,singledoc,0.5551,0.8556,0.1108,0.1867
voyage/voyage-3-large,512,60,singledoc,0.5552,0.8622,0.0898,0.1546
voyage/voyage-3-large,512,80,singledoc,0.5552,0.8656,0.077,0.1347
voyage/voyage-3-large,1024,20,global,0.5358,0.8144,0.1743,0.2693
voyage/voyage-3-large,1024,40,global,0.5369,0.8478,0.1305,0.2148
voyage/voyage-3-large,1024,60,global,0.5369,0.85,0.1069,0.1814
voyage/voyage-3-large,1024,80,global,0.5344,0.87,0.0937,0.1617
voyage/voyage-3-large,1024,20,singledoc,0.5631,0.8144,0.1488,0.2371
voyage/voyage-3-large,1024,40,singledoc,0.5637,0.8344,0.1053,0.1776
voyage/voyage-3-large,1024,60,singledoc,0.5635,0.8344,0.0852,0.1468
voyage/voyage-3-large,1024,80,singledoc,0.5637,0.8344,0.0733,0.1279
voyage/voyage-3-large,2048,20,global,0.5451,0.8078,0.176,0.2708
voyage/voyage-3-large,2048,40,global,0.5462,0.8378,0.1345,0.2198
voyage/voyage-3-large,2048,60,global,0.5462,0.8378,0.1124,0.1888
voyage/voyage-3-large,2048,80,global,0.5465,0.8578,0.0999,0.1705
voyage/voyage-3-large,2048,20,singledoc,0.5706,0.8111,0.15,0.2384
voyage/voyage-3-large,2048,40,singledoc,0.5711,0.8244,0.1077,0.1812
voyage/voyage-3-large,2048,60,singledoc,0.5712,0.8311,0.0866,0.1489
voyage/voyage-3-large,2048,80,singledoc,0.5712,0.8344,0.074,0.1293
voyage/voyage-3-large,4096,20,global,0.5451,0.8078,0.1757,0.2704
voyage/voyage-3-large,4096,40,global,0.5428,0.8378,0.1347,0.22
voyage/voyage-3-large,4096,60,global,0.5462,0.8378,0.1129,0.1895
voyage/voyage-3-large,4096,80,global,0.5465,0.8578,0.1002,0.1709
voyage/voyage-3-large,4096,20,singledoc,0.5706,0.8111,0.1499,0.2382
voyage/voyage-3-large,4096,40,singledoc,0.5711,0.8244,0.1077,0.1812
voyage/voyage-3-large,4096,60,singledoc,0.5712,0.8311,0.0866,0.1489
voyage/voyage-3-large,4096,80,singledoc,0.5712,0.8344,0.074,0.1294
