Model,Chunk Size,K,MRR,Recall,Precision,F1
ollama/bge-m3,512,20,0.4862,0.7544,0.1807,0.2716
ollama/bge-m3,512,40,0.4876,0.8156,0.1301,0.2099
ollama/bge-m3,512,60,0.4879,0.8356,0.1061,0.1777
ollama/bge-m3,512,80,0.488,0.8422,0.0949,0.1613
ollama/bge-m3,1024,20,0.4326,0.5867,0.1213,0.1919
ollama/bge-m3,1024,40,0.4339,0.61,0.0962,0.1581
ollama/bge-m3,1024,60,0.4342,0.6189,0.0828,0.1391
ollama/bge-m3,1024,80,0.4346,0.6256,0.0762,0.1296
ollama/nomic-embed-text,512,20,0.4504,0.7544,0.1877,0.2758
ollama/nomic-embed-text,512,40,0.4568,0.7878,0.1352,0.2154
ollama/nomic-embed-text,512,60,0.4575,0.8189,0.1166,0.191
ollama/nomic-embed-text,512,80,0.4571,0.8289,0.1031,0.1724
ollama/nomic-embed-text,1024,20,0.3988,0.5889,0.1396,0.2076
ollama/nomic-embed-text,1024,40,0.4077,0.6489,0.1014,0.1617
ollama/nomic-embed-text,1024,60,0.4103,0.6944,0.0872,0.1436
ollama/nomic-embed-text,1024,80,0.4111,0.7011,0.0766,0.1281
voyage/voyage-3-large,512,20,0.5541,0.8322,0.1592,0.2519
voyage/voyage-3-large,512,40,0.5551,0.8556,0.1108,0.1867
voyage/voyage-3-large,512,60,0.5552,0.8622,0.0898,0.1546
voyage/voyage-3-large,512,80,0.5552,0.8656,0.077,0.1347
voyage/voyage-3-large,1024,20,0.5631,0.8144,0.1488,0.2371
voyage/voyage-3-large,1024,40,0.5637,0.8344,0.1053,0.1776
voyage/voyage-3-large,1024,60,0.5635,0.8344,0.0852,0.1468
voyage/voyage-3-large,1024,80,0.5637,0.8344,0.0733,0.1279
voyage/voyage-3-large,2048,20,0.5706,0.8111,0.15,0.2384
voyage/voyage-3-large,2048,40,0.5711,0.8244,0.1077,0.1812
voyage/voyage-3-large,2048,60,0.5712,0.8311,0.0866,0.1489
voyage/voyage-3-large,2048,80,0.5712,0.8344,0.074,0.1293
voyage/voyage-3-large,4096,20,0.5706,0.8111,0.1499,0.2382
voyage/voyage-3-large,4096,40,0.5711,0.8244,0.1077,0.1812
voyage/voyage-3-large,4096,60,0.5712,0.8311,0.0866,0.1489
voyage/voyage-3-large,4096,80,0.5712,0.8344,0.074,0.1294
