Model,Chunk Size,K,Mode,MRR,Recall,Precision,F1
voyage/voyage-3-large,2048,60,singledoc,0.5712,0.8311,0.0866,0.1489
voyage/voyage-3-large,2048,80,singledoc,0.5712,0.8344,0.074,0.1293
voyage/voyage-3-large,4096,60,singledoc,0.5712,0.8311,0.0866,0.1489
voyage/voyage-3-large,4096,80,singledoc,0.5712,0.8344,0.074,0.1294
voyage/voyage-3-large,2048,40,singledoc,0.5711,0.8244,0.1077,0.1812
voyage/voyage-3-large,4096,40,singledoc,0.5711,0.8244,0.1077,0.1812
voyage/voyage-3-large,2048,20,singledoc,0.5706,0.8111,0.15,0.2384
voyage/voyage-3-large,4096,20,singledoc,0.5706,0.8111,0.1499,0.2382
voyage/voyage-3-large,1024,40,singledoc,0.5637,0.8344,0.1053,0.1776
voyage/voyage-3-large,1024,80,singledoc,0.5637,0.8344,0.0733,0.1279
